kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
50,22.562953014718953,10,EN_Fixed,6.727641759843451e-11,1.0,1.0,1.7819686415040828e-05
50,22.562953014718953,10,EN_Dynamic,0.205687411372475,0.5,1.0,0.9853090791435414
50,22.562953014718953,10,OMP,4.930380657631324e-33,1.0,1.0,1.5254882042685618e-16
50,22.562953014718953,10,Lasso,6.808717510816932e-11,1.0,1.0,1.792673862121663e-05
50,22.562953014718953,10,Ridge,0.0029086262201207004,1.0,0.2,0.11716896287419061
50,41.74985786860124,11,EN_Fixed,2.3835390100570316e-10,1.0,1.0,1.986109007196376e-05
50,41.74985786860124,11,EN_Dynamic,0.604249225218923,0.0,0.0,1.0
50,41.74985786860124,11,OMP,0.23148892872448137,0.5,0.25,0.6189521294836962
50,41.74985786860124,11,Lasso,1.0303807553437162e-10,1.0,1.0,1.3058425576245605e-05
50,41.74985786860124,11,Ridge,0.04854034066683653,1.0,0.2,0.283428395924829
50,25.592434477334898,12,EN_Fixed,2.8457003778211025e-10,1.0,1.0,1.9192494039636114e-05
50,25.592434477334898,12,EN_Dynamic,0.7637190611530593,0.5,1.0,0.9942684156211786
50,25.592434477334898,12,OMP,1.9721522630525296e-32,1.0,1.0,1.597743464548755e-16
50,25.592434477334898,12,Lasso,2.9010382306430047e-10,1.0,1.0,1.9378205389589887e-05
50,25.592434477334898,12,Ridge,0.026162104176772984,1.0,0.2,0.18402344811444984
50,25.53683086017577,13,EN_Fixed,7.381854540023937e-11,1.0,1.0,1.4085437193276935e-05
50,25.53683086017577,13,EN_Dynamic,0.3020600923933766,1.0,1.0,0.9010196559902983
50,25.53683086017577,13,OMP,5.982054422812028e-30,1.0,1.0,4.009708210000872e-15
50,25.53683086017577,13,Lasso,1.1537783133240823e-11,1.0,1.0,5.5686352948299e-06
50,25.53683086017577,13,Ridge,0.007012330354032416,1.0,0.2,0.13728363620840414
50,22.214948808088565,14,EN_Fixed,4.737849131251371e-10,1.0,0.6666666666666666,2.388698723921234e-05
50,22.214948808088565,14,EN_Dynamic,0.7792830153049041,1.0,0.3333333333333333,0.9687648422758269
50,22.214948808088565,14,OMP,13.209727422169511,0.5,0.25,3.988574349948994
50,22.214948808088565,14,Lasso,4.2084763064161406e-10,1.0,0.6666666666666666,2.2512991488535707e-05
50,22.214948808088565,14,Ridge,1.4952839171031185,1.0,0.2,1.341938444712019
50,27.135640812703077,15,EN_Fixed,7.685207445052416e-09,1.0,0.5,0.00011863745296320028
50,27.135640812703077,15,EN_Dynamic,0.546024294473671,0.0,0.0,1.0
50,27.135640812703077,15,OMP,8.604819505980509e-29,1.0,1.0,1.2553502093247453e-14
50,27.135640812703077,15,Lasso,4.107467867798391e-09,1.0,0.5,8.673234809605312e-05
50,27.135640812703077,15,Ridge,0.32313197604088095,1.0,0.2,0.7692791911899002
50,30.18275435367051,16,EN_Fixed,5.8607714870806164e-08,1.0,1.0,0.00024024860454177667
50,30.18275435367051,16,EN_Dynamic,0.944359675673426,1.0,0.6666666666666666,0.9643888859698122
50,30.18275435367051,16,OMP,5.127595883936577e-31,1.0,1.0,7.106248243524664e-16
50,30.18275435367051,16,Lasso,8.256276611076644e-11,1.0,1.0,9.017280862956604e-06
50,30.18275435367051,16,Ridge,0.19867018849831247,1.0,0.2,0.4423334996946688
50,31.464562386658987,17,EN_Fixed,2.015121409664308e-08,1.0,0.5,0.0004126053513836408
50,31.464562386658987,17,EN_Dynamic,0.11836723545252296,0.0,0.0,1.0
50,31.464562386658987,17,OMP,0.003801591816242317,0.5,0.25,0.17921196005975684
50,31.464562386658987,17,Lasso,6.578148386795587e-11,1.0,1.0,2.3574152068871792e-05
50,31.464562386658987,17,Ridge,0.0895941117482541,1.0,0.2,0.8700094738453443
50,26.534642983374287,18,EN_Fixed,2.2663602632113436e-07,1.0,1.0,0.0004972183474429978
50,26.534642983374287,18,EN_Dynamic,0.9167156705572383,0.0,0.0,1.0
50,26.534642983374287,18,OMP,0.6508424702282136,0.5,0.25,0.842598370089289
50,26.534642983374287,18,Lasso,4.4787375362503754e-10,1.0,1.0,2.2103471026049062e-05
50,26.534642983374287,18,Ridge,0.1092132716147161,1.0,0.2,0.3451599368685228
50,23.180493318042505,19,EN_Fixed,1.5778743182287617e-08,1.0,0.6666666666666666,0.00013801351343642096
50,23.180493318042505,19,EN_Dynamic,0.79474630067387,0.5,0.5,0.9794892314041065
50,23.180493318042505,19,OMP,2.9909692036333775e-32,1.0,1.0,1.900165282062072e-16
50,23.180493318042505,19,Lasso,1.4629628645853902e-08,1.0,0.6666666666666666,0.00013289298584541722
50,23.180493318042505,19,Ridge,4.6027006282736895,1.0,0.2,2.3571747062113184
100,76.99987792664645,0,EN_Fixed,1.514283936060957e-05,1.0,0.3333333333333333,0.004833489632108498
100,76.99987792664645,0,EN_Dynamic,0.5634429621800092,1.0,0.2857142857142857,0.9323567364615544
100,76.99987792664645,0,OMP,4.162667798220082,0.0,0.0,2.534212393133863
100,76.99987792664645,0,Lasso,1.092880139254811e-07,1.0,0.4,0.00041062312192447886
100,76.99987792664645,0,Ridge,0.49814836741485696,1.0,0.2,0.8766706950616625
100,46.87766661089358,1,EN_Fixed,7.265147438204497e-13,1.0,1.0,9.871431570090156e-07
100,46.87766661089358,1,EN_Dynamic,0.3905760206772234,0.5,1.0,0.7237868881703567
100,46.87766661089358,1,OMP,2.465190328815662e-32,1.0,1.0,1.8183737395448492e-16
100,46.87766661089358,1,Lasso,6.3402827792533e-13,1.0,1.0,9.221726489400372e-07
100,46.87766661089358,1,Ridge,0.014572805697133536,1.0,0.2,0.13980719112135456
100,89.6369460148987,2,EN_Fixed,1.7177412766900083e-07,1.0,0.5,0.0011417649605337677
100,89.6369460148987,2,EN_Dynamic,0.13176629358555436,0.0,0.0,1.0
100,89.6369460148987,2,OMP,0.17871440181872494,0.0,0.0,1.164602212731184
100,89.6369460148987,2,Lasso,1.6408593778044606e-09,1.0,0.5,0.00011159211703650374
