cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,hpp_l1,hpp_l2
10,6,HPP_EN,3,4,0.74999999998125,0.888447512494799,-0.009224020412698763,8.739520587903453,0.8188883726511332,0.05,0.001
10,6,EN_Fixed,3,4,0.74999999998125,0.9542879077132738,-0.13021765755105386,9.787282394388761,0.9170630896746667,,
10,6,Ridge,4,4,0.999999999975,0.9581550224745542,-0.14131150157032324,9.883351132591946,0.9260646787090517,,
10,6,Lasso,3,4,0.74999999998125,0.9177474373061564,-0.03407289982808215,8.954703033866508,0.8390508519571118,,
10,7,HPP_EN,4,4,0.999999999975,0.749040661567005,0.20329021374694878,3.5565313792872715,0.6603556304507658,0.05,0.001
10,7,EN_Fixed,4,4,0.999999999975,0.8709143832051937,0.023756687228974505,4.357973299184152,0.8091626077673095,,
10,7,Ridge,4,4,0.999999999975,0.8735955065562087,0.004746278791304626,4.442836213269365,0.8249194498013759,,
10,7,Lasso,4,4,0.999999999975,0.8045133955452823,0.22670178276301078,3.4520215800094602,0.6409508714228244,,
10,8,HPP_EN,4,4,0.999999999975,0.8307862535734171,0.15064274492155538,7.807496117510067,0.6899608423384885,0.05,0.001
10,8,EN_Fixed,4,4,0.999999999975,0.9323088443061481,-0.08734349278869469,9.995122838579281,0.8832848930294627,,
10,8,Ridge,4,4,0.999999999975,0.9323648072343249,-0.09220832323582395,10.039841529802796,0.8872367548556446,,
10,8,Lasso,3,4,0.74999999998125,0.8797677926913721,0.08883007672947663,8.375693026451547,0.7401733063611302,,
10,9,HPP_EN,4,4,0.999999999975,0.802334531069518,0.21145678354276753,2.1235374820960624,0.6540512833566714,0.05,0.001
10,9,EN_Fixed,4,4,0.999999999975,0.9173700508480301,-0.0033294876201515056,2.701954349979733,0.8322041523048763,,
10,9,Ridge,4,4,0.999999999975,0.9115630520542323,-0.015181919235653485,2.733872807033461,0.8420350632140396,,
10,9,Lasso,2,4,0.4999999999875,0.8799304012619905,0.13673619404303994,2.3247591389126248,0.7160277184277029,,
10,10,HPP_EN,4,4,0.999999999975,0.8051634916927997,0.1817231143690643,7.814490369800398,0.6576209054639951,0.05,0.001
10,10,EN_Fixed,3,4,0.74999999998125,0.9380124299388788,-0.0888915639884531,10.398842726669052,0.8751045872572308,,
10,10,Ridge,4,4,0.999999999975,0.9359416353657931,-0.0893344420016271,10.403072182528941,0.8754605130387699,,
10,10,Lasso,3,4,0.74999999998125,0.9142381917745176,-0.009488828417486106,9.640551831067501,0.8112913477787193,,
10,11,HPP_EN,3,4,0.74999999998125,0.9030795873578277,0.0846567035447282,3.8784838720893253,0.7581503943830135,0.05,0.001
10,11,EN_Fixed,3,4,0.74999999998125,0.9729067845801355,-0.11274736881376812,4.71492252182012,0.9216540502146373,,
10,11,Ridge,3,4,0.74999999998125,0.9669203983617012,-0.11161990688298151,4.7101452508968675,0.9207202085502172,,
10,11,Lasso,2,4,0.4999999999875,0.9339471210090926,0.034534476846820206,4.0908612922702146,0.7996650764542451,,
10,12,HPP_EN,3,4,0.74999999998125,0.8075990091828602,0.1963072760544461,5.358687442976817,0.6876410637180185,0.05,0.001
10,12,EN_Fixed,3,4,0.74999999998125,0.960144508937431,-0.04487987322902409,6.966822629180472,0.8940012595329023,,
10,12,Ridge,3,4,0.74999999998125,0.9531131407849254,-0.04858684416192349,6.991539163245989,0.8971729511004913,,
10,12,Lasso,2,4,0.4999999999875,0.9124527894006351,0.14069979297795232,5.729454917185953,0.7352189348049692,,
10,13,HPP_EN,4,4,0.999999999975,0.7073326497640983,0.38209117883835153,3.7029023331456985,0.5078468161837236,0.05,0.001
10,13,EN_Fixed,3,4,0.74999999998125,0.9074845558369965,0.05364665680181113,5.671150633391059,0.7777887543739961,,
10,13,Ridge,4,4,0.999999999975,0.8966686080288392,0.042127039283793244,5.74018350219559,0.7872564960210267,,
10,13,Lasso,2,4,0.4999999999875,0.8626031935906268,0.2208301108555497,4.669281132782336,0.6403840403578198,,
10,14,HPP_EN,4,4,0.999999999975,0.6771964902320404,0.3523126981972219,4.69283090879968,0.5465098821007044,0.05,0.001
10,14,EN_Fixed,4,4,0.999999999975,0.8291884786154173,0.13055973767323947,6.299546285754314,0.7336220641276209,,
10,14,Ridge,4,4,0.999999999975,0.811457783146049,0.10260629593843373,6.502083490073895,0.7572088043713711,,
10,14,Lasso,3,4,0.74999999998125,0.8055056129816818,0.33168401259016267,4.8422964505128885,0.5639160910963523,,
30,0,HPP_EN,3,4,0.74999999998125,0.9553217203496338,-0.06955654401402178,7.547663328282576,0.9190960092967193,0.005,0.001
30,0,EN_Fixed,3,4,0.74999999998125,0.9402709772305979,-0.12091938008149739,7.910121392227621,0.9632333463267096,,
30,0,Ridge,4,4,0.999999999975,0.9351595932742313,-0.12423335499374377,7.93350750215888,0.966081125748753,,
30,0,Lasso,2,4,0.4999999999875,0.9709445702458536,-0.04628279266786617,7.383424756203266,0.8990963074545555,,
30,1,HPP_EN,3,4,0.74999999998125,0.9453110350895887,0.008511062987522022,4.373536951550263,0.8480234124827499,0.005,0.001
30,1,EN_Fixed,3,4,0.74999999998125,0.9787855063762488,-0.09782049284108307,4.842573943464155,0.9389691058356944,,
30,1,Ridge,3,4,0.74999999998125,0.978780632995213,-0.10405165875112221,4.870060114354686,0.9442986404190048,,
30,1,Lasso,3,4,0.74999999998125,0.9601275022717944,-0.03391574752889426,4.5606850039421305,0.8843111886664166,,
30,2,HPP_EN,4,4,0.999999999975,0.8607149404446424,-0.015393215739160526,7.0185140019828065,0.8747848404164812,0.005,0.001
30,2,EN_Fixed,3,4,0.74999999998125,0.9810805699235549,-0.12019431880998277,7.742911208822882,0.96507342498078,,
30,2,Ridge,4,4,0.999999999975,0.9553245187561337,-0.11838010482744243,7.730371154347746,0.9635104374951461,,
30,2,Lasso,3,4,0.74999999998125,0.9696966018426744,-0.07723807523536164,7.445992741841012,0.9280656233746192,,
30,3,HPP_EN,2,4,0.4999999999875,0.9819473357549167,-0.110946517873727,5.3942870673488645,0.9442991316032074,0.005,0.001
30,3,EN_Fixed,3,4,0.74999999998125,0.9925423893982207,-0.14813340388746754,5.574850879442019,0.9759078036723285,,
30,3,Ridge,4,4,0.999999999975,0.99106205881338,-0.15346623499861356,5.6007448549236365,0.980440684154172,,
30,3,Lasso,1,4,0.24999999999375,0.9854325283799972,-0.08455549141275687,5.266143389465125,0.9218668875948204,,
30,4,HPP_EN,3,4,0.74999999998125,0.9511636985566302,-0.07898134987131633,7.581817953354475,0.8946802826896951,0.005,0.001
30,4,EN_Fixed,3,4,0.74999999998125,0.9737904580531733,-0.14623551351950437,8.054401492862812,0.9504467462638765,,
30,4,Ridge,3,4,0.74999999998125,0.9757204382920808,-0.14940942991257766,8.076704062128092,0.9530785252247704,,
30,4,Lasso,3,4,0.74999999998125,0.9492060970379365,-0.08882908134727363,7.651016283161686,0.9028459207536081,,
30,5,HPP_EN,2,4,0.4999999999875,0.9605443192234598,-0.05138529075576859,6.551117869081308,0.8685994599104221,0.005,0.001
30,5,EN_Fixed,4,4,0.999999999975,0.982177099870297,-0.13882098633511442,7.0959243760219355,0.9408342520697446,,
30,5,Ridge,4,4,0.999999999975,0.9842363734129815,-0.1474589286168353,7.149746869575367,0.947970467562399,,
30,5,Lasso,3,4,0.74999999998125,0.9546890504854953,-0.04974877144255396,6.5409208166684945,0.8672474533681112,,
30,6,HPP_EN,3,4,0.74999999998125,0.9970418976514848,-0.10007890640296546,6.932805696559027,0.9190146530470283,0.005,0.001
30,6,EN_Fixed,3,4,0.74999999998125,0.9675748279808551,-0.10088076327221329,6.937859077583414,0.9196845306423499,,
30,6,Ridge,3,4,0.74999999998125,0.9780610220427511,-0.11288574732777246,7.013515670363309,0.9297135896420626,,
30,6,Lasso,3,4,0.74999999998125,0.9409660168588647,-0.02009998544316738,6.428770653611276,0.8521996274437464,,
30,7,HPP_EN,3,4,0.74999999998125,0.9388741731519943,-0.024067658503005296,4.29113746802544,0.8677921584756085,0.005,0.001
30,7,EN_Fixed,3,4,0.74999999998125,1.0147461839985845,-0.13933498974748182,4.774140675709516,0.965469382584599,,
30,7,Ridge,4,4,0.999999999975,1.0097470034427893,-0.14007514217601158,4.7772421268604655,0.9660965857466379,,
30,7,Lasso,3,4,0.74999999998125,0.9940774796103451,-0.08482688492269985,4.545736068862932,0.9192793622792429,,
30,8,HPP_EN,4,4,0.999999999975,0.9135977854434141,-0.005327901005680147,3.844353644078727,0.8456651779993127,0.005,0.001
30,8,EN_Fixed,2,4,0.4999999999875,0.9914543847809447,-0.16426072307222395,4.452109554428003,0.9793568353465184,,
