kappa_target,kappa_actual,run_id,method,mse,support_recall,support_precision,rel_err
100,71.68618530762238,11,Lasso,1.8933499163884833e-08,1.0,0.6666666666666666,0.00011597210532514595
100,71.68618530762238,11,Ridge,0.0069025183532484295,1.0,0.4,0.0700231887387285
100,35.871531763707914,12,EN_Fixed,1.4039166683492164e-05,1.0,0.6666666666666666,0.0035775590609438703
100,35.871531763707914,12,EN_Dynamic,0.8885768587352774,0.75,0.75,0.9000438035814743
100,35.871531763707914,12,OMP,10.417810745703637,0.25,0.25,3.081799488657547
100,35.871531763707914,12,Lasso,5.976552036703122e-08,1.0,0.6666666666666666,0.00023342184612670707
100,35.871531763707914,12,Ridge,0.6591302939910866,1.0,0.4,0.7751786149719877
100,36.2822422504119,13,EN_Fixed,2.7826775821826517e-10,1.0,0.8,1.9241973567270785e-05
100,36.2822422504119,13,EN_Dynamic,0.6035419832187521,1.0,0.6666666666666666,0.8961318474293521
100,36.2822422504119,13,OMP,0.028513630357503768,0.75,0.75,0.19478002924500232
100,36.2822422504119,13,Lasso,2.7128545736831246e-10,1.0,0.8,1.8999029881492123e-05
100,36.2822422504119,13,Ridge,0.08708934922436352,1.0,0.4,0.3404087318959779
100,44.19360563798118,14,EN_Fixed,6.171000796342963e-11,1.0,1.0,5.567208210379195e-06
100,44.19360563798118,14,EN_Dynamic,1.5483142102135687,1.0,0.4444444444444444,0.8818388186300083
100,44.19360563798118,14,OMP,0.004230202879733562,0.75,0.75,0.04609356097738228
100,44.19360563798118,14,Lasso,4.567243978389952e-11,1.0,1.0,4.789462405886557e-06
100,44.19360563798118,14,Ridge,0.19816682327414117,1.0,0.4,0.31548240032872416
100,56.93888433593666,15,EN_Fixed,0.008542522918278736,1.0,0.5,0.17955403555321076
100,56.93888433593666,15,EN_Dynamic,0.26496945445181896,0.0,0.0,1.0
100,56.93888433593666,15,OMP,0.6175800372741949,0.5,0.5,1.5266824701016601
100,56.93888433593666,15,Lasso,1.7618682680424692e-05,1.0,0.5,0.008154339914862063
100,56.93888433593666,15,Ridge,0.1017305245655598,1.0,0.4,0.6196232939892019
100,86.84002210142887,16,EN_Fixed,1.2367548739961492e-07,1.0,0.6666666666666666,0.0003087576210201048
100,86.84002210142887,16,EN_Dynamic,1.2975473268631803,0.0,0.0,1.0000862917052733
100,86.84002210142887,16,OMP,3.196274932538002,0.25,0.25,1.5696323291031191
100,86.84002210142887,16,Lasso,1.8704782946380533e-08,1.0,0.6666666666666666,0.00012007489269610534
100,86.84002210142887,16,Ridge,0.3927264145796076,1.0,0.4,0.5502004320414106
100,42.58170343910898,17,EN_Fixed,1.1388915200399105e-07,1.0,0.4444444444444444,0.0002657505467360797
100,42.58170343910898,17,EN_Dynamic,1.3126490872507675,0.75,0.5,0.9022093165914452
100,42.58170343910898,17,OMP,9.860761315262648e-32,1.0,1.0,2.472795549054872e-16
100,42.58170343910898,17,Lasso,1.1345155223280655e-07,1.0,0.4444444444444444,0.00026523950463960616
100,42.58170343910898,17,Ridge,0.1812107083328885,1.0,0.4,0.3352161362457828
100,44.36923908321666,18,EN_Fixed,0.35922882462380146,1.0,0.4,0.8999581050640264
100,44.36923908321666,18,EN_Dynamic,0.33280432296995544,1.0,0.4444444444444444,0.8662259368784823
100,44.36923908321666,18,OMP,1.233352232029517,0.0,0.0,1.6675553804492202
100,44.36923908321666,18,Lasso,0.6315071818607414,0.5,0.25,1.1932346354210983
100,44.36923908321666,18,Ridge,0.17133747256051685,1.0,0.4,0.6215311249391311
100,81.8315721623375,19,EN_Fixed,0.00020158055773866773,1.0,0.5,0.009899647870383815
100,81.8315721623375,19,EN_Dynamic,1.7351569600469592,1.0,0.5714285714285714,0.918469648121665
100,81.8315721623375,19,OMP,3.4450033925323593,0.5,0.5,1.2941667950812334
100,81.8315721623375,19,Lasso,3.228143390432346e-09,1.0,0.8,3.961611051034008e-05
100,81.8315721623375,19,Ridge,0.02040312465140569,1.0,0.4,0.09959642900910552
200,80.49523191854145,0,EN_Fixed,3.061607692577382e-11,1.0,0.8,9.75566794091583e-06
200,80.49523191854145,0,EN_Dynamic,0.26145862403532727,1.0,0.5,0.901537352276352
200,80.49523191854145,0,OMP,0.1668858902977029,0.75,0.75,0.7202645651595189
200,80.49523191854145,0,Lasso,3.592951437292801e-11,1.0,0.8,1.0568367649716876e-05
200,80.49523191854145,0,Ridge,0.10440890223602381,1.0,0.4,0.5697062765100208
200,173.27195806924377,1,EN_Fixed,0.0339670878735479,1.0,0.5714285714285714,0.17070215221162863
200,173.27195806924377,1,EN_Dynamic,0.9744564639212581,1.0,0.6666666666666666,0.9143049262516124
200,173.27195806924377,1,OMP,3.1814675601642493,0.5,0.5,1.6520515281129122
