cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,lambda1,lambda2
30,4,sparseho_EN,4,4,0.999999999975,0.9665038411908179,-0.11242348669733992,7.816810146144759,0.9224101599788832,0.0006105402296585328,0.0054948620669267945
30,4,HPP_sparseho,3,4,0.74999999998125,0.9523199342366673,-0.08344213501236397,7.613163129869792,0.8983791200342761,0.0006105402296585328,0.0054948620669267945
30,4,EN_manual,3,4,0.74999999998125,0.9737904580531733,-0.14623551351950437,8.054401492862812,0.9504467462638765,0.0006105402296585328,0.0054948620669267945
30,4,Ridge,3,4,0.74999999998125,0.9757204382920808,-0.14940942991257766,8.076704062128092,0.9530785252247704,0.0006105402296585328,0.0054948620669267945
30,5,sparseho_EN,3,4,0.74999999998125,0.9552376734005429,-0.06246198957232463,6.62013610643501,0.877750448319947,0.06477171057010368,0.007196856730011519
30,5,HPP_sparseho,2,4,0.4999999999875,0.9602905293926883,-0.05290818150375021,6.560606908807733,0.8698575924835423,0.06477171057010368,0.007196856730011519
30,5,EN_manual,4,4,0.999999999975,0.982177099870297,-0.13882098633511442,7.0959243760219355,0.9408342520697446,0.06477171057010368,0.007196856730011519
30,5,Ridge,4,4,0.999999999975,0.9842363734129815,-0.1474589286168353,7.149746869575367,0.947970467562399,0.06477171057010368,0.007196856730011519
30,6,sparseho_EN,3,4,0.74999999998125,0.9503688616223694,-0.05053718593185974,6.620588891109614,0.8776271064036893,0.022135943621178652,0.00948683298050514
30,6,HPP_sparseho,4,4,0.999999999975,0.9737059286042249,-0.07362548598434548,6.766093633720416,0.8969152555888791,0.022135943621178652,0.00948683298050514
30,6,EN_manual,3,4,0.74999999998125,0.9675748279808551,-0.10088076327221329,6.937859077583414,0.9196845306423499,0.022135943621178652,0.00948683298050514
30,6,Ridge,3,4,0.74999999998125,0.9780610220427511,-0.11288574732777246,7.013515670363309,0.9297135896420626,0.022135943621178652,0.00948683298050514
30,7,sparseho_EN,3,4,0.74999999998125,0.945554910247282,0.0008482546287794657,4.186732639397063,0.8466784812126928,9e-05,9.999999999999997e-06
30,7,HPP_sparseho,3,4,0.74999999998125,0.937525201549148,-0.022027563843551867,4.282588885752764,0.8660633877900762,9e-05,9.999999999999997e-06
30,7,EN_manual,3,4,0.74999999998125,1.0147461839985845,-0.13933498974748182,4.774140675709516,0.965469382584599,9e-05,9.999999999999997e-06
30,7,Ridge,4,4,0.999999999975,1.0097470034427893,-0.14007514217601158,4.7772421268604655,0.9660965857466379,9e-05,9.999999999999997e-06
30,8,sparseho_EN,4,4,0.999999999975,0.9374693447219387,-0.1184524972355967,4.276939821500413,0.940823714543632,0.0013894954943731374,0.012505459449358236
30,8,HPP_sparseho,4,4,0.999999999975,0.9176914229752152,-0.036622425255872226,3.9640232744755224,0.8719896134337302,0.0013894954943731374,0.012505459449358236
30,8,EN_manual,2,4,0.4999999999875,0.9914543847809447,-0.16426072307222395,4.452109554428003,0.9793568353465184,0.0013894954943731374,0.012505459449358236
30,8,Ridge,4,4,0.999999999975,0.9717871499143473,-0.1524045630959472,4.406771837486113,0.9693836299607965,0.0013894954943731374,0.012505459449358236
30,9,sparseho_EN,3,4,0.74999999998125,0.9324514272977034,-0.04251713241155053,7.8148637562594745,0.8582585911460565,6.827537778224366e-05,0.0001593092148252352
30,9,HPP_sparseho,3,4,0.74999999998125,0.9187203777000226,0.008292237969124816,7.433989145453026,0.8164294669195188,6.827537778224366e-05,0.0001593092148252352
30,9,EN_manual,3,4,0.74999999998125,0.976443420140192,-0.1505188276858882,8.62446055594143,0.9471716458534841,6.827537778224366e-05,0.0001593092148252352
30,9,Ridge,3,4,0.74999999998125,0.9738080789481581,-0.1476382617431271,8.602867404439426,0.9448002023626528,6.827537778224366e-05,0.0001593092148252352
30,10,sparseho_EN,4,4,0.999999999975,0.9450446872314086,-0.09752585442127026,11.316167323865447,0.8948799395322756,0.00020482613334673098,2.2758459260747882e-05
30,10,HPP_sparseho,4,4,0.999999999975,0.9361480044066838,-0.07956299017058455,11.130959133408897,0.8802337179332806,0.00020482613334673098,2.2758459260747882e-05
30,10,EN_manual,2,4,0.4999999999875,0.993960908810662,-0.20882661458698415,12.4637466908889,0.9856302550038962,0.00020482613334673098,2.2758459260747882e-05
30,10,Ridge,4,4,0.999999999975,0.9891033177215105,-0.20112238329885335,12.384311322685916,0.9793485241439881,0.00020482613334673098,2.2758459260747882e-05
30,11,sparseho_EN,4,4,0.999999999975,0.934358460931661,-0.07247655645699469,6.398593396880911,0.8793991348342721,9e-05,9.999999999999997e-06
