src_type,sparsity,noise_level,run_id,method,track,m,n,n_zero_cols,mse,support_recall,support_precision,rel_err,smooth_err,corr,obs_mse,unobs_mse,obs_relerr,unobs_relerr,unobs_true_norm,unobs_est_norm
pure_sparse,0.7341970784960945,0.01,9,Lasso,phits,8,12,5,0.9028496523210258,0.25,0.5,0.9576905586116526,0.6317244089454565,0.2877999200699305,0.8634198812492568,0.9580513318215023,0.9277230858976179,1.0,2.1886654973082367,0.0
pure_sparse,0.7341970784960945,0.01,9,Ridge,phits,8,12,5,23379.037144154554,0.5,0.2857142857142857,154.109992341196,1.884353002989353,-0.003463224867408966,40077.66506759935,0.9580513318215023,199.87503250978688,1.0,2.1886654973082367,0.0
pure_sparse,0.7341970784960945,0.01,9,OMP,phits,8,12,5,9475.226613433986,0.25,0.25,98.10977758029286,0.6317244089454565,0.0008447545509616926,16242.561300649819,0.9580513318215023,127.24320479729538,1.0,2.1886654973082367,0.0
pure_sparse,0.8618191816743509,0.05,0,EN,phits,8,12,5,583705.9526592534,0.5,0.25,840.6498836602738,0.26154643317017423,0.00020349273671562736,1000637.60272197,1.6425714500541002,2030.578891056709,1.0,2.8658083066162154,0.0
pure_sparse,0.8618191816743509,0.05,0,Lasso,phits,8,12,5,7.329081575783252,0.5,0.5,2.97881048524104,0.27568251350248074,0.05904750730070764,11.390874522732645,1.6425714500541002,6.851095029578775,1.0,2.8658083066162154,0.0
pure_sparse,0.8618191816743509,0.05,0,Ridge,phits,8,12,5,3899066.314931542,0.5,0.14285714285714285,2172.6932089149104,0.2628278593796949,7.865701919965058e-05,6684112.509474465,1.6425714500541002,5248.114883238978,1.0,2.8658083066162154,0.0
pure_sparse,0.8618191816743509,0.05,0,OMP,phits,8,12,5,3853174.905692401,0.5,0.25,2159.869231160053,0.26152824845798306,7.920316039870358e-05,6605441.522207366,1.6425714500541002,5217.13871039966,1.0,2.8658083066162154,0.0
pure_sparse,0.8041153592960751,0.05,1,EN,phits,8,12,5,14727991.160619566,0.3333333333333333,0.2,3081.764812315436,2.185865575488776,0.0001546700125258194,25247983.45318604,1.9510265044277464,4467.792342631342,1.0,3.123320752362577,0.0
pure_sparse,0.8041153592960751,0.05,1,Lasso,phits,8,12,5,13841813.621476248,0.3333333333333333,0.25,2987.61226212468,2.187201308433913,0.00015961582081587886,23728821.95751178,1.9510265044277464,4331.294559061108,1.0,3.123320752362577,0.0
pure_sparse,0.8041153592960751,0.05,1,Ridge,phits,8,12,5,18048595.99000043,0.3333333333333333,0.14285714285714285,3411.5319774435416,2.183670393832939,0.00013961633642719696,30940448.874981802,1.9510265044277464,4945.8727226507945,1.0,3.123320752362577,0.0
pure_sparse,0.8041153592960751,0.05,1,OMP,phits,8,12,5,21048610.01064076,0.3333333333333333,0.25,3684.168164546755,2.1873912929383494,0.00012944592645001437,36083330.05322237,1.9510265044277464,5341.127390760031,1.0,3.123320752362577,0.0
pure_sparse,0.7270869364667799,0.05,2,EN,phits,8,12,5,7675263.670921582,0.5,0.5,2839.151064206274,0.8852854022030464,0.00022840496983272832,13157594.303068431,0.7859159929138416,3505.1594007612516,1.0,1.9823168174056356,0.0
pure_sparse,0.7270869364667799,0.05,2,Lasso,phits,8,12,5,7640233.02001734,0.5,0.5,2832.6645735141533,0.8854090484967511,0.00022894574716571036,13097541.75866116,0.7859159929138416,3497.1513081010107,1.0,1.9823168174056356,0.0
pure_sparse,0.7270869364667799,0.05,2,Ridge,phits,8,12,5,9019709.204233948,0.5,0.2857142857142857,3077.783853791057,0.8801743110287447,0.00021001734545013787,15462358.07446106,0.7859159929138416,3799.770705736073,1.0,1.9823168174056356,0.0
pure_sparse,0.7270869364667799,0.05,2,OMP,phits,8,12,5,7645667.4701891495,0.5,0.5,2833.6718227696056,0.9044422727630631,0.00023127171681249146,13106857.95895569,0.7859159929138416,3498.394838039279,1.0,1.9823168174056356,0.0
pure_sparse,0.8177897844480122,0.05,3,EN,phits,8,12,5,8763.132495987504,0.6666666666666666,0.5,90.89347745597527,161.75329545145595,0.4594295571536979,15022.168584641646,0.4819718717058678,100.94977393627381,1.0,1.5523721713974838,0.0
pure_sparse,0.8177897844480122,0.05,3,Lasso,phits,8,12,5,6342.364527841423,0.6666666666666666,1.0,77.32654924892809,137.55191648716456,0.4605550267531676,10872.280639248365,0.4819718717058678,85.8814487473624,1.0,1.5523721713974838,0.0
pure_sparse,0.8177897844480122,0.05,3,Ridge,phits,8,12,5,51655182.202274315,0.6666666666666666,0.2857142857142857,6978.466195098084,80.24524570257894,0.0030480741613164203,88551740.57391892,0.4819718717058678,7750.6403693849115,1.0,1.5523721713974838,0.0
pure_sparse,0.8177897844480122,0.05,3,OMP,phits,8,12,5,48473649.11308333,0.3333333333333333,0.25,6760.143073363008,1.5746991216146806,8.928554940660755e-05,83097683.84959152,0.4819718717058678,7508.159577722771,1.0,1.5523721713974838,0.0
pure_sparse,0.7940527319606255,0.05,4,EN,phits,8,12,5,0.671370450011084,0.25,1.0,0.9566460677930306,0.550653009532291,0.29136668892888334,0.6721017855536623,0.6703465802514742,0.9289869006025888,1.0,1.8307738531171378,0.0
pure_sparse,0.7940527319606255,0.05,4,Lasso,phits,8,12,5,0.6714114184923844,0.25,1.0,0.9566752556569416,0.5477746616888205,0.29136668892888334,0.6721720172358917,0.6703465802514742,0.9290354368584461,1.0,1.8307738531171378,0.0
pure_sparse,0.7940527319606255,0.05,4,Ridge,phits,8,12,5,5839.251045371321,0.75,0.42857142857142855,89.21723370262588,182.30257979245587,-0.6273060007824758,10009.665830222086,0.6703465802514742,113.3709680605704,1.0,1.8307738531171378,0.0
pure_sparse,0.7940527319606255,0.05,4,OMP,phits,8,12,5,5890.47316409403,0.75,0.75,89.60768768342012,190.50651789316964,-0.6098983059546194,10097.475176603872,0.6703465802514742,113.86715312297746,1.0,1.8307738531171378,0.0
