kappa_target,kappa_actual,src_type,sparsity,noise_level,run_id,method,track,m,n,mse,support_recall,support_precision,rel_err,smooth_err,corr
50,26.997088761982592,pure_sparse,0.8146235041520389,0.05,7,Ridge,simulation,8,10,0.2917575818627729,1.0,0.2,0.6296217000491692,0.5729038887024507,0.7773246885362766
50,26.997088761982592,pure_sparse,0.8146235041520389,0.05,7,OMP,simulation,8,10,1.0347251139777789,0.5,0.25,1.1857171658616439,0.9756998783643669,0.2879794568243878
50,31.733809186328195,pure_sparse,0.6974602349599709,0.05,8,EN,simulation,8,10,0.7464691404344027,1.0,0.4444444444444444,0.6274654997586171,0.7803751191402393,0.7830913163152452
50,31.733809186328195,pure_sparse,0.6974602349599709,0.05,8,Lasso,simulation,8,10,0.7416654410493894,1.0,0.4444444444444444,0.6254432992866813,0.777688574165972,0.7845430710921054
50,31.733809186328195,pure_sparse,0.6974602349599709,0.05,8,Ridge,simulation,8,10,1.0339386453248287,1.0,0.4,0.7384673638558226,0.8246897556371929,0.7057697032602778
50,31.733809186328195,pure_sparse,0.6974602349599709,0.05,8,OMP,simulation,8,10,0.003693669892206103,1.0,1.0,0.04413803170509154,0.08099327558969709,0.9992896888484217
50,38.07632062104612,pure_sparse,0.7858031663373599,0.05,9,EN,simulation,8,10,0.001046537727604856,1.0,0.6,0.04097072392447539,0.047091498341376714,0.9991680160840276
50,38.07632062104612,pure_sparse,0.7858031663373599,0.05,9,Lasso,simulation,8,10,0.001037469874982764,1.0,0.6,0.04079283986717049,0.04702680130943149,0.999175102567037
50,38.07632062104612,pure_sparse,0.7858031663373599,0.05,9,Ridge,simulation,8,10,0.25157885759429244,1.0,0.3,0.6352333101851413,0.2122843122324125,0.8173756954421166
50,38.07632062104612,pure_sparse,0.7858031663373599,0.05,9,OMP,simulation,8,10,0.0005573354024971665,1.0,0.75,0.02989885165849394,0.03857785290300775,0.9995912023233103
50,24.2105513920317,mixed,0.8960777373050633,0.0,0,EN,simulation,8,10,0.05734204175893207,1.0,0.3333333333333333,0.34113531171588357,0.4215864714645853,0.9517279200695902
50,24.2105513920317,mixed,0.8960777373050633,0.0,0,Lasso,simulation,8,10,0.05920554191658896,1.0,0.3333333333333333,0.3466340972215986,0.42818709942789124,0.949809795614216
